,NORMAL(mm),ACTUAL(mm),date
0,21.97,1.58,1964-01-01
1,14.81,0.71,1964-02-01
2,19.93,13.37,1964-03-01
3,42.91,9.24,1964-04-01
4,64.66,51.14,1964-05-01
5,42.1,27.98,1964-06-01
6,71.67,170.41,1964-07-01
7,90.91,95.35,1964-08-01
8,111.67,91.1,1964-09-01
9,182.17,180.97,1964-10-01
10,170.62,173.33,1964-11-01
11,88.52,77.44,1964-12-01
12,21.97,2.17,1965-01-01
13,14.81,7.48,1965-02-01
14,19.93,8.17,1965-03-01
15,42.91,59.87,1965-04-01
16,64.66,38.73,1965-05-01
17,42.1,30.98,1965-06-01
18,71.67,49.61,1965-07-01
19,90.91,177.94,1965-08-01
20,111.67,91.52,1965-09-01
21,182.17,123.99,1965-10-01
22,170.62,132.98,1965-11-01
23,88.52,235.01,1965-12-01
24,21.97,16.97,1966-01-01
25,14.81,1.67,1966-02-01
26,19.93,11.86,1966-03-01
27,42.91,30.7,1966-04-01
28,64.66,53.87,1966-05-01
29,42.1,48.56,1966-06-01
30,71.67,67.89,1966-07-01
31,90.91,154.79,1966-08-01
32,111.67,165.88,1966-09-01
33,182.17,298.4,1966-10-01
34,170.62,232.2,1966-11-01
35,88.52,107.87,1966-12-01
36,21.97,29.22,1967-01-01
37,14.81,1.11,1967-02-01
38,19.93,38.79,1967-03-01
39,42.91,16.58,1967-04-01
40,64.66,43.73,1967-05-01
41,42.1,63.84,1967-06-01
42,71.67,65.95,1967-07-01
43,90.91,84.62,1967-08-01
44,111.67,77.03,1967-09-01
45,182.17,200.75,1967-10-01
46,170.62,137.01,1967-11-01
47,88.52,183.54,1967-12-01
48,21.97,4.83,1968-01-01
49,14.81,4.67,1968-02-01
50,19.93,34.1,1968-03-01
51,42.91,85.84,1968-04-01
52,64.66,41.45,1968-05-01
53,42.1,44.27,1968-06-01
54,71.67,44.24,1968-07-01
55,90.91,65.16,1968-08-01
56,111.67,132.07,1968-09-01
57,182.17,113.9,1968-10-01
58,170.62,136.74,1968-11-01
59,88.52,74.05,1968-12-01
60,21.97,1.83,1969-01-01
61,14.81,8.22,1969-02-01
62,19.93,2.4,1969-03-01
63,42.91,30.65,1969-04-01
64,64.66,52.83,1969-05-01
65,42.1,28.58,1969-06-01
66,71.67,50.8,1969-07-01
67,90.91,136.23,1969-08-01
68,111.67,35.67,1969-09-01
69,182.17,291.06,1969-10-01
70,170.62,216.12,1969-11-01
71,88.52,155.92,1969-12-01
72,21.97,18.41,1970-01-01
73,14.81,18.88,1970-02-01
74,19.93,8.03,1970-03-01
75,42.91,62.71,1970-04-01
76,64.66,80.0,1970-05-01
77,42.1,53.9,1970-06-01
78,71.67,86.68,1970-07-01
79,90.91,102.24,1970-08-01
80,111.67,106.09,1970-09-01
81,182.17,186.51,1970-10-01
82,170.62,235.21,1970-11-01
